date,score,direction,adx_score,ma_score,rsi_score,bb_score,vix_score,vol_score,fwd_ret_5d,fwd_ret_10d,fwd_ret_20d,fwd_ret_60d
2021-09-17,30.17,bull,0,83.33,10,10,40,40,0.00507326768269345,-0.017132948934458492,0.008657786456394367,0.05323268674017734
2021-09-20,31.67,bull,0,83.33,10,30,25,40,0.01959274282600587,-0.013142168006722077,0.02954060509616596,0.06341830827515449
2021-09-21,43.67,bull,30,83.33,10,50,40,40,-0.00035828905370305364,-0.0019451899610435364,0.03799557291541089,0.08168227868698219
2021-09-22,40.33,bull,30,66.67,10,50,40,40,-0.008230923063746953,-0.007300491176059909,0.03197482057583034,0.06211377106954452
2021-09-23,51.67,bull,30,83.33,50,50,60,40,-0.03179154368578385,-0.011063258333332437,0.022656834854284824,0.03858416019033517
2021-09-24,51.67,bull,30,83.33,50,50,60,40,-0.02209412719567272,-0.01439578608812464,0.020069649570188863,0.02525879132121256
2021-09-27,45.67,bull,30,83.33,10,50,60,40,-0.032105868802083326,-0.018437518854080737,0.027766614147233915,0.046390956678995954
2021-09-28,40.33,bull,30,66.67,10,50,40,40,-0.001587469680349951,-0.000454892908898219,0.05104044272802932,0.07901663707712636
2021-09-29,43.33,bull,30,66.67,10,70,40,40,0.0009381537591002242,0.0009955003117099182,0.04409266665277811,0.08403106839091623
2021-09-30,64.08,bear,60,66.67,80,85,45,40,0.02140890757281766,0.030346723507403528,0.06706377194241298,0.11227983906308903
2021-10-01,67.08,bear,60,66.67,100,85,45,40,0.007872272088387922,0.026240309269593087,0.05699737471392052,0.09853250251198609
2021-10-04,63.75,bear,60,50.0,100,85,45,40,0.01412174070224581,0.04325118747517687,0.07283173515914343,0.11454590953774701
2021-10-05,61.5,bear,60,50.0,100,70,45,40,0.0011343775614365281,0.040018606668400736,0.06556558485444164,0.0996405070317139
2021-10-06,54.0,bear,60,50.0,50,70,45,40,5.7292803151032246e-05,0.039564149476028154,0.06806843804376417,0.09227129037492099
2021-10-07,48.5,bear,60,50.0,50,50,20,40,0.008750477764899234,0.034097320654492336,0.06370809041864423,0.09018680885009256
2021-10-08,48.5,bear,60,50.0,50,50,20,40,0.01822456841991027,0.03496883959284203,0.0697258586902667,0.09158940314877562
2021-10-11,51.0,bear,60,50.0,50,50,45,40,0.02872381648455713,0.047072024337537766,0.07807737302917239,0.07782053551405621
2021-10-12,56.0,bear,60,50.0,100,50,20,40,0.03884016968998538,0.05151877116060355,0.07690807239534414,0.07939041524754242
2021-10-13,48.5,bear,60,50.0,50,50,20,40,0.03950459334398704,0.04305430576625735,0.06483114920764788,0.07177918201753553
2021-10-14,39.5,bear,60,50.0,10,30,20,40,0.025126969898199736,0.03563562400627718,0.04754346636953444,0.0522795612899023
2021-10-15,63.33,bull,60,66.67,100,50,60,40,0.016444575874765777,0.029970626924816557,0.04729646057610881,0.05405495423028839
2021-10-18,70.0,bull,60,100.0,100,50,60,40,0.017835892937408282,0.028354195076984112,0.043762754033131346,0.05346980443543781
2021-10-19,76.0,bull,60,100.0,100,70,90,40,0.012204573754980741,0.024563962627436098,0.04010727077909482,0.030843211935089654
2021-10-20,70.75,bull,30,100.0,100,85,90,40,0.003414811675676477,0.027419460917445848,0.033614108412197696,0.0279221456522023
2021-10-21,70.0,bull,30,100.0,80,100,90,40,0.01025107563907035,0.02863441300226044,0.03401488889883386,0.006006901304138834
2021-10-22,73.0,bull,30,100.0,100,100,90,40,0.013307219469797626,0.03358267202623999,0.03367732224747533,-0.002671156016547105
2021-10-25,70.0,bull,30,100.0,80,100,90,40,0.01033398626690274,0.02961147654694618,0.025503223803807318,-0.01834016580784459
2021-10-26,70.0,bull,30,100.0,80,100,90,40,0.012210366553280672,0.02414536186236349,0.02533671605915999,-0.03865753316462395
2021-10-27,70.0,bull,30,100.0,100,100,60,40,0.023922956849403487,0.020877957476425513,0.032906482743054744,-0.0310984707849018
